event_id_cnty,event_date,notes,topic_manual
RUS8833,21 September 2022,"On 21 September 2022, people gathered in Ryazan, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police dispersed the demonstration and arrested at least 11 protesters.",social
RUS8834,21 September 2022,"On 21 September 2022, around 100 people took to the streets in Tomsk, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police intervened, arresting around 15 protesters.",social
RUS8835,21 September 2022,"On 21 September 2022, people gathered in Tver, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police dispersed the demonstration and arrested at least 13 protesters.",social
RUS8836,21 September 2022,"On 21 September 2022, people took to the streets in Ufa, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police intervened, arresting at least 26 protesters.",social
RUS8837,21 September 2022,"On 21 September 2022, dozens of people took to the streets in Ulan-Ude, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police intervened, arresting 4 protesters.",social
RUS8838,21 September 2022,"On 21 September 2022, around 50 people took to the streets in Volgograd, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police intervened, arresting 8 protesters.",social
RUS8839,21 September 2022,"On 21 September 2022, several people gathered in Yakutsk, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police intervened, arresting at least 2 protesters.",social
RUS8840,21 September 2022,"On 21 September 2022, people took to the streets in Yekaterinburg, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police intervened, arresting at least 51 protesters.",social
RUS8841,21 September 2022,"On 21 September 2022, people gathered in Zheleznogorsk, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police dispersed the demonstration and arrested at least 3 protesters.",social
RUS8842,21 September 2022,"On 21 September 2022, around 650 people took to the streets in St. Petersburg, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police intervened, violently beating people with rubber batons and arresting at least 500 protesters, including at least one journalist. In one reported incident, police officers broke a protester's arm during his arrest. After being taken to the police stations, several protesters were handed out conscription notices.",social
RUS8843,21 September 2022,"On 21 September 2022, people gathered in Voronezh, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring'). Police dispersed the demonstration and arrested at least 17 protesters. After being taken to the police stations, several protesters were handed out conscription notices. Police beat a blogger at the station after they arrested him at the rally.",social
RUS8858,21 September 2022,"On 21 September 2022, around 60 people gathered in Barnaul, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring').",social
RUS8859,21 September 2022,"On 21 September 2022, around 12 people gathered in Khabarovsk, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Anti-mobilization protests were announced by a Russian opposition movement Vesna ('Spring').",social
RUS8820,21 September 2022,"On 21 September 2022, several protesters staged pickets in Belgorod against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Police arrested at least 1 protester.",social
RUS8844,21 September 2022,"On 21 September 2022, around 130 women gathered in Grozny, protesting against a mobilization announced in Russia to fill up the ranks of the Russian forces in Ukraine. Police intervened, immediately arresting everyone. This was the first reported rally that took place in Chechnya under Kadyrov's rule.",social
RUS8856,19 September 2022,"On 19 September 2022, LKSM activists held a protest in Barnaul against the construction of skyscrapers on the site of the historical building.",cultural
RUS8872,19 September 2022,"On 19 September 2022, hundreds of people blocked a road in Ufa, protesting against power shortages.",social
RUS8871,18 September 2022,"On 18 September 2022, around 250 protesters staged a demonstration in Perm against the rise in public transportation tariffs. The organizers had previously obtained a permission to hold the event from the authorities.",economic
RUS8870,18 September 2022,"On 18 September 2022, around 30 residents staged a mass picket in Novosibirsk against the cutting down of trees in urban areas in Akademgorodok, due to environmental concerns.",environmental
RUS8854,17 September 2022,"On 17 September 2022, around 50 residents gathered in Orenburg to protest against the activities of a local industrial company, which increases the levels of ammonia in the area and causes a strong smell of ammonia and hydrogen sulfide. KPRF members took part in the event.",environmental
RUS8855,17 September 2022,"On 17 September 2022, residents gathered in Poltavskaya, protesting against a landfill near their village, due to environmental and health concerns. KPRF members took part in the event and spoke with the protesters.",environmental
RUS8869,17 September 2022,"On 17 September 2022, over 20 animal rights activists staged pickets in Kaliningrad, demanding to ban the use of animals in circuses.",environmental
RUS8868,16 September 2022,"On 16 September 2022, residents gathered in Verkh-Tula, protesting against the construction of a landfill near their village, due to environmental concerns.",environmental
RUS8780,15 September 2022,"On 15 September 2022, around 3000 residents took part in a rally in Belovo in support of the Russian military invasion of Ukraine.",war (pro)
RUS8778,14 September 2022,"Around 14 September 2022, around 70 residents gathered in St. Petersburg, protesting against the demolition of a former printing house building, which has been recognized as an object of cultural heritage.",cultural
RUS8760,12 September 2022,"On 12 September 2022, around 150 residents staged a demonstration in Naberezhnyye Chelny against the construction of a shopping mall on the site of a square, due to environmental concerns.",environmental
RUS8766,12 September 2022,"On 12 September 2022, protesters held a series of organized pickets in Krasnodar in front of the regional administration, demanding the authorities take action to help the shareholders of an unfinished residential building, who have been waiting for 20 years for the construction works to finish.",social
RUS8761,12 September 2022,"Around 12 September 2022 (as reported), around 40 residents of Novikbozh, Komi staged a protest against the development of an oil well by Lukoil 4 km away from their village, due to environmental concerns.",environmental
RUS8767,12 September 2022,"On 12 September 2022, over 2000 residents took part in a rally in Novocherkassk in support of the Russian military invasion of Ukraine. The rally was organized by a local movement of Cossacks, members of the Russian military forces and the Young Army Cadets National Movement also took part in the event.",war (pro)
RUS8764,10 September 2022,"On 10 September 2022, around 300 protesters gathered in Murmansk to support the local oceanarium and protest against the decision of the authorities to close it down and transfer the animals to Moscow.",cultural
RUS8763,10 September 2022,"On 10 September 2022, activists of Combat Brotherhood, a veterans' organization, staged a rally in Kaluga in support of the Russian military invasion of Ukraine.",war (pro)
RUS8749,09 September 2022,"On 9 September 2022, 3 KPRF candidates running for the municipal election held pickets at different locations in Yaroslavl, trying to bring attention to the city's local problems.",political
RUS8752,09 September 2022,"Around 9 September 2022 (as reported), KPRF/ZNS members staged a rally in Yaroslavl, calling on the authorities to ensure that municipal elections that are currently underway are held fairly.",political
RUS8740,08 September 2022,"On 8 September 2022, around 1800 residents in Guryevsk gathered at a concert-rally in support of the Russian military invasion of Ukraine. The head of the Guryevsk district, member of the ruling United Russia party, spoke at the event.",war (pro)
RUS8759,08 September 2022,"On 8 September 2022, around 200 residents participated in a rally in Surgut in support of the Russian military invasion of Ukraine.",war (pro)
RUS8747,07 September 2022,"Around 7 September 2022, KPRF members staged a rally in Novocherkassk, demanding the administration repair a local monument.",cultural
RUS8738,07 September 2022,"On 7 September 2022, activists of the A Just Russia party staged a rally in Krasnodar in support of the Russian military invasion of Ukraine.",war (pro)
RUS8753,07 September 2022,"On 7 September 2022, around 60 residents gathered in Kazan to participate in a rally in support of the Russian military invasion of Ukraine. The rally was organized by the LDPR and the Communists of Russia.",war (pro)
RUS8754,05 September 2022,"On 5 September 2022, around 30 residents blocked a road in Poltavskaya, protesting against a landfill near their village, which pollutes the environment and affects the health of the residents. Police tried to arrest one protester, but were prevented from doing that by other protesters.",environmental
RUS8746,04 September 2022,"On 4 September 2022, KPRF members staged a protest in Rubtsovsk against the problems with garbage collection in the city.",social
RUS8748,04 September 2022,"On 4 September 2022, 3 protesters staged pickets at different locations in Moscow against political repressions. Police arrested all protesters.",political
RUS8751,03 September 2022,"On 3 September 2022, KPRF activists staged a rally in Vladimir in support of the KPRF candidate for the role of the governor of the Vladimir region. Members of the For New Socialism movement took part in the event.",political
RUS8742,03 September 2022,"On 3 September 2022, KPRF activists staged a protest action in Moscow against electoral fraud. Police intervened in the event, arresting 4 protesters.",political
RUS8750,02 September 2022,"On 2 September 2022, KPRF activists staged a rally in Ryazan in support of the KPRF candidate for the role of governor of the Ryazan region. Members of the Left Front and the LKSM took part in the event.",political
RUS8712,02 September 2022,"On 2 September 2022, residents staged a protest in Nizhniy Tagil, demanding the authorities repair the road in their district.",social
RUS8705,31 August 2022,"Around 31 August 2022 (as reported), trash collection drivers staged a protest in Ust-Barguzin, demanding to pay them their salaries. Protesters claim that they have not received salaries for a year.",economic
RUS8701,31 August 2022,"Around 31 August 2022 (as reported), KPRF members organized a concert rally in Volgograd in support of the Russian military invasion of Ukraine and the KPRF program of economic reforms. Members of other left movements and veterans took part in the event.",war (pro)
RUS8676,31 August 2022,"On 31 August 2022, residents gathered in Izhevsk to participate in a rally in support of the Russian military invasion of Ukraine. A State Duma deputy, member of the ruling United Russia party, spoke at the event.",war (pro)
RUS8717,30 August 2022,"On 30 August 2022, over 100 protesters staged pickets in Novosibirsk against the construction of a landfill in the Novosibirsk region.",environmental
RUS8680,30 August 2022,"On 30 August 2022, residents gathered in Maykop to participate in a rally in support of the Russian military invasion of Ukraine. Government officials, members of the Young Army Cadets National Movement and Combat Brotherhood took part in the event.",war (pro)
RUS8672,30 August 2022,"On 30 August 2022, residents participated in a rally in Saransk in support of the Russian military invasion of Ukraine. Members of a youth wing of the ruling United Russia party and veterans took part in the event.",war (pro)
RUS8718,29 August 2022,"On 29 August 2022, residents staged pickets in Permskiy, demanding the authorities take measures to solve the problem of trucks, which pass by their village, make a lot of noise at night, and violate speed limits.",social
RUS8703,28 August 2022,"On 28 August 2022, KPRF activists, together with activists of the Left Front and the movement For new socialism, staged a demonstration in Bryansk, demanding socialist reforms. They expressed support for the KPRF program of economic reforms.",political
RUS8706,27 August 2022,"On 27 August 2022, residents gathered in Derbent to participate in a concert-rally in support of the Russian military invasion of Ukraine. Members of the Young Army Cadets National Movement took part in the event.",war (pro)
RUS8687,26 August 2022,"On 26 August 2022, over 300 residents gathered in Krasnodar, protesting against the city administration's plan to demolish a garage cooperative and build a highway on its place. The demonstration was initiated by the Communist party.",social
RUS8673,26 August 2022,"On 26 August 2022, over 5000 residents, including members of veterans' organizations, participated in a concert-rally in Sochi in support of the Russian military invasion of Ukraine.",war (pro)
RUS8727,24 August 2022,"On 24 August 2022, several dozen protesters staged a 'silent protest action' in Yekaterinburg in support of Yevgeny Roizman, a former mayor of Yekaterinburg and a prominent opposition politician who was arrested earlier on the same day on charges of 'discrediting' the Russian army. Police arrested one protester, using force, and took photos of others, threatening to use them to identify the participants and charge them with an administrative offence for participating in an unauthorized demonstration.",political
RUS8684,24 August 2022,"Around 24 August 2022 (as reported), KPRF activists participated in a motor rally in Ivanovo in support of the KPRF program of economic reforms.",economic
RUS8726,24 August 2022,"On 24 August 2022, 4 protesters staged anti-war protest actions at different locations in Moscow, due to the Russian military invasion of Ukraine. Police arrested all protesters.",war (anti)
RUS8711,23 August 2022,"Around 23 August 2022, residents gathered in the Golyanovo neighborhood in Moscow, demanding that police take action regarding an alleged kidnapping attempt.",social
RUS8689,23 August 2022,"On 23 August 2022, over a dozen cars took part in a motor rally in Kursk, organized by KPRF, in support of the Russian military invasion of Ukraine.",war (pro)
RUS8708,22 August 2022,"Around 22 August 2022 (as reported), dozens of residents staged a protest action in Krasnodar in front of the house of a local businessman, demanding to hold him accountable for fraud in the issuance of loans secured by real estate.",legal
RUS8674,22 August 2022,"On 22 August 2022, over 3000 residents participated in a concert-rally in Khabarovsk in support of the Russian military invasion of Ukraine. High-ranking government officials took part in the event.",war (pro)
RUS8685,21 August 2022,"On 21 August 2022, around 200 residents participated in a demonstration in Kirov, organized by the Communist Party, against the construction of plants for the processing and disposal of chemical waste in the Kirov region.",environmental
RUS8686,21 August 2022,"On 21 August 2022, residents participated in a demonstration in Kirovo-Chepetsk, organized by the Communist Party, against the construction of plants for the processing and disposal of chemical waste in the Kirov region.",environmental
RUS8716,21 August 2022,"On 21 August 2022, around 150 residents took part in a series of organized pickers in Novosibirsk against the construction works in the green areas in two Novosibirsk districts - Eltsovka and Akademgorodok.",environmental
RUS8694,21 August 2022,"On 21 August 2022, residents participated in a demonstration in Slobodskoy, organized by the Communist Party, against the construction of plants for the processing and disposal of chemical waste in the Kirov region.",environmental
RUS8698,21 August 2022,"Around 21 August 2022 (as reported), KPRF activists staged an anti-NATO protest in Tyumen. They also expressed support for the KPRF program of economic reforms.",political
RUS8695,21 August 2022,"Around 21 August 2022 (as reported), KPRF activists organized a motor rally in Staraya Russa in support of the KPRF program of economic reforms.",economic
RUS8696,21 August 2022,"On 21 August 2022, KPRF activists and supporters gathered in Tomsk, expressing support for the KPRF program of economic reforms in the run-up to the governor's election.",economic
RUS8723,21 August 2022,"On 21 August 2022, protesters staged a protest action in the Bitsevsky Forest in Moscow, trying to stop construction works there. Police arrested 4 protesters. One of the protesters was beaten up by an employee of the construction company.",environmental
RUS8707,20 August 2022,"On 20 August 2022, residents gathered on the outskirts of Ardon, protesting against the construction of a sand pit in the city.",environmental
RUS8688,20 August 2022,"On 20 August 2022, KPRF activists and supporters staged a protest in Kursk against the selling of municipal property by the authorities.",political
RUS8715,20 August 2022,"On 20 August 2022, protesters held pickets in Novosibirsk, demanding the release of Sergei Furgal, the former governor of Khabarovsk Oblast, and Maria Ponomarenko, a journalist. Sergei Furgal was arrested in summer of 2020 on charges of organizing murders in the early 2000s, which his supporters consider to be politically motivated. Maria Ponomarenko was arrested in April 2022 on charges of disseminating 'fakes' about the Russian army.",political
RUS8675,20 August 2022,"On 20 August 2022, almost 5000 residents participated in a concert-rally in Ussuriysk in support of the Russian military invasion of Ukraine. High-ranking government officials and members of veterans' organizations took part in the event.",war (pro)
RUS8690,19 August 2022,"On 19 August 2022, KPRF activists and supporters staged pickets in Novy Urengoy in support of the Russian military invasion of Ukraine and the KPRF program of economic reforms.",war (pro)
RUS8702,18 August 2022,"Around 18 August 2022 (as reported), KPRF and Left Front activists took part in an organized picket in Kostroma against the demolition of a children's health resort to give space for commercial construction.",social
RUS8699,18 August 2022,"On 18 August 2022, KPRF members staged a series of pickets in Ufa, demanding fair elections. They expressed support for the KPRF candidates for local elections in other regions, who had been targeted by the authorities in the run-up to the election.",political
RUS8700,18 August 2022,"On 18 August 2022, KPRF activists staged a motor rally in Vladimir in support of the candidacy of a KPRF member for governor of the region. Over 10 cars took part in the event.",political
RUS8720,18 August 2022,"On 18 August 2022, residents of two villages near Sovkhoza Im. Lenina protested against problems with the water supply.",social
RUS8679,18 August 2022,"On 18 August 2022, residents participated in a concert rally in Nizhnevartovsk in support of the Russian military invasion of Ukraine. Members of veterans' organizations and local United Russia deputies took part in the event.",war (pro)
RUS8677,18 August 2022,"On 18 August 2022, residents participated in a concert rally in Khanty-Mansiysk in support of the Russian military invasion of Ukraine. Members of veterans' organizations and local United Russia deputies took part in the event.",war (pro)
RUS8678,18 August 2022,"On 18 August 2022, residents participated in a concert rally in Nefteyugansk in support of the Russian military invasion of Ukraine. Members of veterans' organizations and local United Russia deputies took part in the event.",war (pro)
RUS8725,18 August 2022,"On 18 August 2022, 3 anti-war protesters staged a series of pickets at different locations in Moscow, because of the Russian military invasion of Ukraine. Police arrested all protesters.",war (anti)
RUS8709,17 August 2022,"On 17 August 2022, around 50 residents blocked a road in Makhachkala, protesting against electricity shortages.",social
RUS8714,16 August 2022,"On 16 August 2022, around 35-40 protesters participated in an organized picket in Novosibirsk, protesting against the city plan to demolish dozens of old residential buildings in the Akademgorodok neighborhood and build new high-rise buildings. Protesters argue that this will put high pressure on the already strained public transport system",social
RUS8722,16 August 2022,"On 16 August 2022, residents participated in a rally in Yoshkar-Ola in support of the Russian military invasion of Ukraine.",war (pro)
RUS8704,15 August 2022,"Around 15 August 2022 (as reported), local market workers staged a protest in Khasavyurt, demanding to re-open a street leading to the market. The street has been closed to traffic for one year and a half, negatively impacting the income of the market workers.",economic
RUS8710,15 August 2022,"On 15 August 2022, protesters gathered in front of the British and American embassies in Moscow, denouncing the alleged use of prohibited weapons by Ukrainian forces in Donbas.",political
RUS8697,15 August 2022,"On 15 August 2022, KPRF activists staged a series of pickets in Tula in support of the KPRF program of economic reforms.",economic
RUS8691,15 August 2022,"On 15 August 2022, KPRF activists organized a motor rally in Perm in support of the KPRF program of economic reforms.",economic
RUS8671,15 August 2022,"On 15 August 2022, over 100 members of a youth branch of the ruling United Russia party protested in front of the Latvian embassy in Moscow against the decision, announced by the mayor of Riga, to demolish the Soviet monument 'To the Liberators of Riga'.",cultural
RUS8721,15 August 2022,"On 15 August 2022, around 300 people participated in a rally in Yekaterinburg in support of the Russian military invasion of Ukraine.",war (pro)
RUS8719,14 August 2022,"On 14 August 2022, residents staged a mass picket in Rostov-on-Don, demanding that the authorities conduct an inspection of a plant, located near residential houses. Activists claimed that the plant pollutes the air in the air and negatively impacts the residents' health.",environmental
RUS8692,14 August 2022,"On 14 August 2022, KPRF activists staged pickets in Rostov-on-Don against the government's inaction to tackle air pollution.",environmental
RUS8681,14 August 2022,"On 14 August 2022, KPRF activists organized a motor rally in Arkhangelsk in support of the KPRF program of economic reforms. Around 12 cars took part in the event. The participants were also holding signs in support of the Russian military invasion of Ukraine.",economic
RUS8693,14 August 2022,"On 14 August 2022, KPRF activists organized a motor rally in Severodvinsk in support of the KPRF program of economic reforms. Around 12 cars took part in the event. The participants were also holding signs in support of the Russian military invasion of Ukraine.",economic
RUS8682,13 August 2022,"On 13 August 2022, KPRF activists organized a motor rally in Astrakhan in support of the KPRF program of economic reforms.",economic
RUS8683,13 August 2022,"On 13 August 2022, around 3 dozen KPRF activists staged a series of pickets in Blagoveshchensk in support of the KPRF program of economic reforms.",economic
RUS8713,13 August 2022,"On 13 August 2022, dozens of activists of a movement 'Council of Fathers of the Novosibirsk region' staged a demonstration in Novosibirsk in support of the full legislative ban on the so-called 'gay propaganda'.",legal
RUS8626,12 August 2022,"On 12 August 2022, KPRF activists organized a motor rally in Ufa in support of the KPRF program of socialist economic reforms and the Russian military invasion of Ukraine.",economic
RUS8609,12 August 2022,"On 12 August 2022, residents participated in a concert-rally in Ryazan in support of the Russian military invasion of Ukraine. Members of the ruling United Russia party and veterans, including members of a veterans' organization Combat Brotherhood, took part in the event.",war (pro)
RUS8613,12 August 2022,"On 12 August 2022, residents participated in a concert-rally in Gorno-Altaysk in support of the Russian military invasion of Ukraine, organized by a regional veterans' organization.",war (pro)
RUS8643,11 August 2022,"On 11 August 2022, residents gathered in Saransk in support of the Russian military invasion of Ukraine. The demonstration was organized by the regional Civic Chamber.",war (pro)
RUS8642,10 August 2022,"Around 10 August 2022 (as reported), residents participated in a concert-rally in Kaltan in support of the Russian military invasion of Ukraine.",war (pro)
RUS8629,09 August 2022,"On 9 August 2022, around 500 people protested in Moscow against the use of the electronic voting system at the upcoming elections in September. The protest was organized by the KPRF and Left Front members.",political
RUS8608,09 August 2022,"On 9 August 2022, activists of the youth branch of the ruling United Russia party staged a protest in front of the Embassy of Estonia in Moscow against the initiative put forward by the Estonian Prime Minister to remove Soviet monuments from public spaces.",cultural
RUS8641,09 August 2022,"On 9 August 2022, around 40 residents protested in Yuzhno-Sakhalinsk against the funeral service company that established its office in one of the residential buildings in their neighborhood.",social
RUS8640,08 August 2022,"Around 8 August 2022 (as reported), residents gathered in Gridino, protesting against the ongoing enlargement of a sand pit in a neighboring village, which will have negative impact on the local environment.",environmental
RUS8639,08 August 2022,"Around 8 August 2022 (as reported), residents in villages near Bogolyubovo protested against the construction of a highway through one of the villages.",environmental
RUS8624,08 August 2022,"Around 8 August 2022 (as reported), KPRF activists held a series of organized pickets in Sergiyev Posad in support of the Russian military invasion of Ukraine.",war (pro)
RUS8630,08 August 2022,"On 8 August 2022, three activists staged a series of anti-war pickets in St. Petersburg, because of the Russian military invasion of Ukraine. Police arrested all protesters.",war (anti)
RUS8638,07 August 2022,"On 7 August 2022, parents staged a protest in Barnaul, denouncing the lack of schools in new residential neighborhoods.",social
RUS8622,07 August 2022,"On 7 August 2022, KPRF activists held a series of organized pickets in Krasnogorsk in support of the Russian military invasion of Ukraine.",war (pro)
RUS8617,07 August 2022,"On 7 August 2022, KPRF members, including local deputies, participated in a motor rally in Selyatino in support of the Russian military invasion of Ukraine.",war (pro)
RUS8628,07 August 2022,"On 7 August 2022, KPRF and Left Front activists participated in a motor rally in Korolev in support of the Russian military invasion of Ukraine.",war (pro)
RUS8623,07 August 2022,"On 7 August 2022, KPRF activists participated in a motor rally in Shatura in support of the Russian military invasion of Ukraine.",war (pro)
RUS8616,07 August 2022,"On 7 August 2022, residents participated in a rally in Yakutsk in support of the Russian military invasion of Ukraine. High-ranking government officials, members of the Ruling United Russia party, and veterans' organizations took part in the event.",war (pro)
RUS8618,06 August 2022,"On 6 August 2022, residents participated in a concert-rally in Yuzhno-Sakhalinsk in support of the Russian military invasion of Ukraine. Deputies, government officials, and members of the military took part in the event.",war (pro)
RUS8620,06 August 2022,"On 6 August 2022, KPRF activists participated in a motor rally and a march in Mytishchi in support of the Russian military invasion of Ukraine.",war (pro)
RUS8627,06 August 2022,"On 6 August 2022, KPRF activists and members of veterans' organizations participated in a motor rally in Lyubertsy in support of the Russian military invasion of Ukraine.",war (pro)
RUS8621,06 August 2022,"On 6 August 2022, KPRF activists participated in a motor rally in Yegoryevsk in support of the Russian military invasion of Ukraine.",war (pro)
RUS8606,05 August 2022,"On 5 August 2022, 455 residents participated in a rally in Magadan in support of the Russian military invasion of Ukraine. Veterans and VVPOD members took part in the event.",war (pro)
RUS8619,05 August 2022,"On 5 August 2022, KPRF activists participated in a motor rally in Taldom in support of the Russian military invasion of Ukraine.",war (pro)
RUS8605,04 August 2022,"Around 4 August 2022 (as reported), over 800 activists of the youth wing of the ruling United Russia party participated in the protest actions in Moscow in front of the embassies of China and Serbia. Protesters denounced the involvement of the US in the internal affairs of these countries.",political
RUS9194,02 August 2022,"On 2 August 2022, residents gathered near Novosibirsk, protesting against the government's plan to build a waste facility near Novosibirsk, due to environmental concerns.",environmental
RUS8601,01 August 2022,"On 1 August 2022, around 20 residents gathered in front of the local administration in the Imeni Sverdlova settlement, protesting against the appointment of a new head of the administration.",political
RUS8600,01 August 2022,"On 1 August 2022, 20 people staged an organized picket in Krasnodar, demanding the authorities open a new public transportation route in the Novoznamenskiy neighborhood.",social
RUS8603,01 August 2022,"On 1 August 2022, residents gathered in Makhachkala, protesting against the dismissal of the heads of schools and kindergartens in the Buynaksk district.",social
RUS8602,01 August 2022,"Around 1 August 2022 (as reported), residents participated in a concert-rally in Maykop in support of the Russian military invasion of Ukraine. Members of the local administration and law enforcement took part in the event.",war (pro)
RUS8604,01 August 2022,"On 1 August 2022, residents gathered in Petrov Val in support of the Russian military invasion of Ukraine. The head of the district administration, veterans and VVPOD members took part in the event.",war (pro)
RUS8599,31 July 2022,"On 31 July 2022, several dozens of people gathered in Rostov-on-Don, protesting against the decision of the regional authorities to abolish the right to free public transportation for labor veterans and other categories. Deputies from KPRF took part in the event.",social
RUS8589,30 July 2022,"On 30 July 2022, around 50 residents gathered in Nizhnekamsk, protesting against cutting down local forests to build a highway. The protest was co-organized by a member of the Communist Party. The event was interrupted by a local deputy, after which police demanded the protesters leave the area and arrested several of them.",environmental
RUS8596,30 July 2022,"On 30 July 2022, KPRF activists participated in a motor rally in Veliky Novgorod, expressing support for the KPRF program of economic reforms. Other actions also took place in the city on the same day.",economic
RUS8597,30 July 2022,"On 30 July 2022, around 200 residents gathered in Razdolnoye to discuss the administration's project to build a landfill near the town. People came to the gathering, holding protest signs against the construction of the landfill. Members of the local KPRF branch took part in the event.",environmental
RUS8598,30 July 2022,"On 30 July 2022, around 500 residents gathered in Velikiye Luki to participate in a concert-rally in support of the Russian military invasion of Ukraine. Deputies, members of the city administration, including the city mayor who is a member of United Russia, and veterans' organizations took part in the event.",war (pro)
RUS8554,29 July 2022,"On 29 July 2022, over 5000 people participated in a rally in Grozny in support of the Russian military invasion of Ukraine. High-ranking government officials gave speeches at the event.",war (pro)
RUS8583,29 July 2022,"Around 29 July 2022 (as reported), residents participated in a concert-rally in Olenegorsk in support of the Russian military invasion of Ukraine.",war (pro)
RUS8558,29 July 2022,"On 29 July 2022, KPRF members staged a demonstration in Yakutsk in support of the KPRF program of economic reforms. Protesters were also holding signs in support of the Russian military invasion of Ukraine.",economic
RUS8567,28 July 2022,"On 28 July 2022, fishers staged a protest in Magadan, protesting against the proposed law that will introduce investment quotas in the fishing industry.",legal
RUS8555,28 July 2022,"On 28 July 2022, KPRF members staged a demonstration in front of the American embassy in Moscow, expressing support for the Russian military invasion of Ukraine and protesting against the 'aggressive' stance of the US toward Russia. State Duma deputies from KPRF took part in the event.",war (pro)
RUS8582,27 July 2022,"On 27 July 2022, around 150 people gathered in St. Petersburg, protesting against the adoption of the city's housing renovation bill. Many residents, whose houses fall under the proposed renovation programmed, refuse to leave their homes.",social
RUS8581,27 July 2022,"On 27 July 2022, over 500 residents participated in a concert-rally in Frolovo in support of the Russian military invasion of Ukraine.",war (pro)
RUS8580,25 July 2022,"On 25 July 2022, around 50 activists staged a picket in Syktyvkar, protesting against cutting down the forest in the areas of Pychim, Yazel and Kachchoyag to make space for a pit. Activists also collected signatures under a petition.",environmental
RUS8550,25 July 2022,"On 25 July 2022, over 700 residents participated in a concert-rally in Ust-Dzheguta, organized by veterans' movements, in support of the Russian military invasion of Ukraine. The head of the Ust-Dzhegutinskiy district, a United Russia member, gave a speech at the event.",war (pro)
RUS8553,25 July 2022,"On 25 July 2022, residents participated in a rally in Ryazan in support of the Russian military invasion of Ukraine. The mayor of Ryazan, who is a member of ruling United Russia, members of the Russian armed forces, and veterans, including members of a veterans' organization Combat Brotherhood, took part in the event.",war (pro)
RUS8579,24 July 2022,"On 24 July 2022, over 10 activists staged a series of organized pickets in Novosibirsk, protesting against cutting down forests to clear space for new buildings in the neighborhood of Akademgorodok. They plan to continue the protest action for 6 days.",environmental
RUS8568,24 July 2022,"On 24 July 2022, 6 left activists - members of KPRF, Left Front and For New Socialism movement - staged an organized picket in Volgograd, demanding to decrease the retirement age, pass socialist reforms, and nationalize natural resources.",social
RUS8557,24 July 2022,"On 24 July 2022, KPRF members staged pickets in Kursk, protesting against the selling of municipal property by the authorities.",political
RUS8561,24 July 2022,"On 24 July 2022, residents staged a protest in Noginsk against the head of the Noginskiy district, because, according to the protesters, he beat up a local veteran. Police intervened, arresting 4 protesters.",political
RUS8569,24 July 2022,"On 24 July 2022, residents gathered in Omsk to commemorate the victims of WWII and to express support for the Russian military invasion of Ukraine. Members of the Russian armed forces, veterans, and members of a youth organization Young Army Cadets National Movement took part in the event.",war (pro)
RUS8560,24 July 2022,"On 24 July 2022, activists gathered for a flowers-laying ceremony in Moscow to commemorate the victims of the Russian military invasion of Ukraine. Police intervened, arresting 8 activists.",war (anti)
RUS8572,23 July 2022,"On 23 July 2022, RKRP activists staged a rally in Hyde Park in Novosibirsk, protesting against restrictions on freedom of assembly. The city administration recently lifted coronavirus-related restrictions on organizing public events. Protesters were also holding signs with socialist slogans and against increasing utility tariffs.",political
RUS8577,23 July 2022,"On 23 July 2022, residents gathered in St. Petersburg, protesting against the government's decision to include their house in the renovation programmed, which means they would have to move to the new residential buildings.",social
